ent_id,unique_id,st_code,dist_code,sbd_code,ent_type,name,dem_class,ivlg_count,uvlg_count,town_count,hhld_count,total_pop,male_count,female_count,area_sqkm,pop_per_sqkm_old,pop_per_sqkm_new
0000000000,0000000000T,00,000,00000,INDIA,India,TOTAL,597608,43324,7933,249501663,1210854977,623270258,587584719,3287469.0,382.0,368.3243787241796
0000000000,0000000000R,00,000,00000,INDIA,India,RURAL,597608,43324,0,168612897,833748852,427781058,405967794,3101473.97,279.0,268.82342397992136
0000000000,0000000000U,00,000,00000,INDIA,India,URBAN,0,0,7933,80888766,377106125,195489200,181616925,102252.03,3685.0,3688.00624300564
0100000000,0100000000T,01,000,00000,STATE,Jammu & Kashmir,TOTAL,6337,216,122,2119718,12541302,6640662,5900640,222236.0,124.0,56.43236019366799
0100000000,0100000000R,01,000,00000,STATE,Jammu & Kashmir,RURAL,6337,216,0,1553433,9108060,4774477,4333583,220990.1,91.0,41.21478744975454
0100000000,0100000000U,01,000,00000,STATE,Jammu & Kashmir,URBAN,0,0,122,566285,3433242,1866185,1567057,1245.9,2755.0,2755.6320732000963
0100100000,0100100000T,01,001,00000,DISTRICT,Kupwara,TOTAL,353,9,10,113929,870354,474190,396164,2379.0,366.0,365.84867591424967
0100100000,0100100000R,01,001,00000,DISTRICT,Kupwara,RURAL,353,9,0,101930,765625,412038,353587,2331.66,328.0,328.3604813737852
0100100000,0100100000U,01,001,00000,DISTRICT,Kupwara,URBAN,0,0,10,11999,104729,62152,42577,47.34,2212.0,2212.2729193071395
0100100001,0100100001T,01,001,00001,SUB-DISTRICT,Kupwara,TOTAL,118,4,7,63022,540914,297837,243077,301.94,1791.0,1791.4618798436775
0100100001,0100100001R,01,001,00001,SUB-DISTRICT,Kupwara,RURAL,118,4,0,56014,465323,252856,212467,275.03,1692.0,1691.8990655564849
0100100001,0100100001U,01,001,00001,SUB-DISTRICT,Kupwara,URBAN,0,0,7,7008,75591,44981,30610,26.91,2809.0,2809.030100334448
0100100002,0100100002T,01,001,00002,SUB-DISTRICT,Handwara,TOTAL,196,3,1,39485,269311,141882,127429,291.47,924.0,923.9750231584725
0100100002,0100100002R,01,001,00002,SUB-DISTRICT,Handwara,RURAL,196,3,0,37474,255711,134503,121208,282.97,904.0,903.6682333816304
0100100002,0100100002U,01,001,00002,SUB-DISTRICT,Handwara,URBAN,0,0,1,2011,13600,7379,6221,8.5,1600.0,1600.0
0100100003,0100100003T,01,001,00003,SUB-DISTRICT,Karnah,TOTAL,39,2,2,11422,60129,34471,25658,69.89,860.0,860.337673486908
